year,title,title_normalized,ranking_women,ranking_men,gender_score
1972,the godfather,thegodfather,10,2,0.01603206412825653
2008,the dark knight,thedarkknight,3,3,0.0
2003,the lord of the rings: the return of the king,thelordoftheringsthereturnoftheking,2,4,-0.004008016032064132
1993,schindler’s list,schindlerslist,6,11,-0.01002004008016033
1999,fight club,fightclub,5,8,-0.006012024048096198
2001,the lord of the rings: the fellowship of the ring,thelordoftheringsthefellowshipofthering,7,10,-0.006012024048096198
1957,12 angry men,12angrymen,27,7,0.04008016032064132
1974,the godfather: part ii,thegodfatherpartii,22,5,0.034068136272545124
2010,inception,inception,8,6,0.004008016032064132
1994,forrest gump,forrestgump,9,13,-0.008016032064128265
2002,the lord of the rings: the two towers,thelordoftheringsthetwotowers,11,14,-0.006012024048096198
1994,the lion king,thelionking,4,29,-0.05010020040080165
1994,pulp fiction,pulpfiction,15,9,0.012024048096192397
2014,interstellar,interstellar,25,15,0.02004008016032066
1999,the green mile,thegreenmile,12,28,-0.03206412825651295
1975,one flew over the cuckoo’s nest,oneflewoverthecuckoosnest,24,19,0.01002004008016033
1966,"the good, the bad and the ugly",thegoodthebadandtheugly,115,12,0.2064128256513026
2006,the prestige,theprestige,26,16,0.02004008016032066
1998,american history x,americanhistoryx,17,27,-0.02004008016032066
2012,the dark knight rises,thedarkknightrises,23,22,0.002004008016032066
1997,life is beautiful,lifeisbeautiful,16,41,-0.05010020040080154
1980,star wars: episode v – the empire strikes back,starwarsepisodevtheempirestrikesback,41,17,0.048096192384769476
1994,leon: the professional,leontheprofessional,21,37,-0.03206412825651295
2002,city of god,cityofgod,64,20,0.0881763527054108
1995,se7en,se7en,28,23,0.01002004008016022
2001,spirited away,spiritedaway,13,56,-0.08617234468937873
1991,the silence of the lambs,thesilenceofthelambs,20,33,-0.02605210420841675
2006,the departed,thedeparted,35,26,0.018036072144288484
1990,goodfellas,goodfellas,71,18,0.1062124248496994
2011,the intouchables,theintouchables,19,52,-0.06613226452905807
2014,whiplash,whiplash,54,30,0.04809619238476959
2000,gladiator,gladiator,44,24,0.04008016032064121
2012,django unchained,djangounchained,29,31,-0.004008016032064021
2002,the pianist,thepianist,31,53,-0.044088176352705455
1946,it’s a wonderful life,itsawonderfullife,56,51,0.01002004008016033
1960,psycho,psycho,55,40,0.030060120240480992
1977,star wars: episode iv – a new hope,starwarsepisodeivanewhope,48,32,0.03206412825651306
2009,inglourious basterds,inglouriousbasterds,32,43,-0.022044088176352727
1998,saving private ryan,savingprivateryan,70,25,0.09018036072144286
1995,the usual suspects,theusualsuspects,58,36,0.044088176352705455
1999,the matrix,thematrix,62,21,0.0821643286573146
2000,memento,memento,57,34,0.04609218436873752
1942,casablanca,casablanca,73,42,0.06212424849699405
1999,american beauty,americanbeauty,51,35,0.03206412825651306
1985,back to the future,backtothefuture,49,46,0.006012024048096198
2001,a beautiful mind,abeautifulmind,34,68,-0.06813627254509025
1954,rear window,rearwindow,80,60,0.04008016032064132
2000,requiem for a dream,requiemforadream,50,49,0.002004008016032066
2011,harry potter and the deathly hallows: part 2,harrypotterandthedeathlyhallowspart2,14,126,-0.22444889779559107
2006,the lives of others,thelivesofothers,86,78,0.01603206412825653
2010,shutter island,shutterisland,39,59,-0.04008016032064132
2008,wall-e,walle,42,62,-0.04008016032064132
2004,eternal sunshine of the spotless mind,eternalsunshineofthespotlessmind,38,66,-0.05611222444889785
1980,the shining,theshining,61,47,0.028056112224448926
1997,good will hunting,goodwillhunting,60,48,0.024048096192384794
1971,a clockwork orange,aclockworkorange,79,50,0.05811623246492981
2001,amelie,amelie,30,90,-0.12024048096192397
1954,seven samurai,sevensamurai,336,39,0.5951903807615231
1983,star wars: episode vi – return of the jedi,starwarsepisodevireturnofthejedi,87,63,0.048096192384769476
1992,reservoir dogs,reservoirdogs,94,64,0.06012024048096187
2017,coco,coco,209,166,0.08617234468937873
1988,cinema paradiso,cinemaparadiso,165,97,0.13627254509018039
1979,apocalypse now,apocalypsenow,219,38,0.36272545090180364
1940,the great dictator,thegreatdictator,262,101,0.3226452905811623
1950,sunset boulevard,sunsetboulevard,190,108,0.1643286573146293
1931,city lights,citylights,294,92,0.404809619238477
1997,princess mononoke,princessmononoke,118,100,0.03607214428857719
2015,room,room,82,139,-0.11422845691382766
2003,pirates of the caribbean: the curse of the black pearl,piratesofthecaribbeanthecurseoftheblackpearl,36,113,-0.15430861723446898
2004,howl’s moving castle,howlsmovingcastle,43,216,-0.3466933867735471
1962,to kill a mockingbird,tokillamockingbird,102,135,-0.06613226452905818
2009,up,up,37,117,-0.16032064128256518
2014,gone girl,gonegirl,81,70,0.022044088176352616
2010,toy story 3,toystory3,66,82,-0.03206412825651306
1936,modern times,moderntimes,248,96,0.3046092184368737
1988,grave of the fireflies,graveofthefireflies,159,133,0.05210420841683361
2006,pan’s labyrinth,panslabyrinth,74,91,-0.03406813627254501
2016,hacksaw ridge,hacksawridge,161,124,0.07414829659318634
1968,2001: a space odyssey,2001aspaceodyssey,195,54,0.282565130260521
2007,into the wild,intothewild,84,95,-0.022044088176352616
1958,vertigo,vertigo,154,87,0.13426853707414832
2015,inside out,insideout,78,107,-0.05811623246492981
2005,batman begins,batmanbegins,106,58,0.09619238476953906
1975,monty python and the holy grail,montypythonandtheholygrail,123,104,0.038076152304609256
2009,3 idiots,3idiots,203,93,0.22044088176352705
2003,oldeuboi,oldeuboi,171,73,0.19639278557114226
1964,dr. strangelove or: how i learned to stop worrying and love the bomb,drstrangeloveorhowilearnedtostopworryingandlovethebomb,236,57,0.3587174348697395
1991,terminator 2,terminator2,178,44,0.26853707414829664
1959,north by northwest,northbynorthwest,205,99,0.2124248496993988
1968,once upon a time in the west,onceuponatimeinthewest,447,55,0.7855711422845691
1981,raiders of the lost ark,raidersofthelostark,131,65,0.13226452905811625
1995,toy story,toystory,85,80,0.01002004008016022
1952,singin’ in the rain,singinintherain,110,170,-0.12024048096192386
2016,la la land,lalaland,122,86,0.07214428857715427
1979,alien,alien,151,67,0.16833667334669344
1941,citizen kane,citizenkane,188,74,0.22845691382765532
2002,catch me if you can,catchmeifyoucan,97,81,0.03206412825651306
1983,scarface,scarface,181,69,0.22444889779559118
1976,taxi driver,taxidriver,164,71,0.18637274549098193
2014,the grand budapest hotel,thegrandbudapesthotel,65,128,-0.12625250501001994
1987,full metal jacket,fullmetaljacket,177,83,0.1883767535070141
2010,how to train your dragon,howtotrainyourdragon,47,165,-0.23647294589178358
1984,amadeus,amadeus,128,121,0.014028056112224352
2007,there will be blood,therewillbeblood,212,72,0.2805611222444889
2012,the avengers,theavengers,52,144,-0.18436873747494986
1984,once upon a time in america,onceuponatimeinamerica,337,88,0.4989979959919839
2013,the wolf of wall street,thewolfofwallstreet,158,45,0.22645290581162325
2005,v for vendetta,vforvendetta,76,112,-0.07214428857715427
1939,gone with the wind,gonewiththewind,46,279,-0.46693386773547096
2003,kill bill: vol. 1,killbillvol1,89,114,-0.05010020040080165
1995,braveheart,braveheart,141,61,0.16032064128256518
2003,finding nemo,findingnemo,53,151,-0.19639278557114237
1999,the sixth sense,thesixthsense,75,116,-0.0821643286573146
2011,the help,thehelp,33,245,-0.4248496993987977
2015,star wars: the force awakens,starwarstheforceawakens,92,154,-0.12424849699398799
2015,mad max: fury road,madmaxfuryroad,135,79,0.1122244488977957
2000,snatch,snatch,144,76,0.13627254509018027
2016,dangal,dangal,649,195,0.9098196392785571
2016,zootopia,zootopia,95,187,-0.18436873747494986
2001,donnie darko,donniedarko,91,122,-0.06212424849699405
2008,gran torino,grantorino,121,120,0.002004008016032066
1989,indiana jones and the last crusade,indianajonesandthelastcrusade,156,84,0.14428857715430854
2012,jagten,jagten,183,141,0.08416833667334656
1988,my neighbor totoro,myneighbortotoro,112,183,-0.14228456913827647
1996,trainspotting,trainspotting,107,127,-0.04008016032064132
2013,12 years a slave,12yearsaslave,100,131,-0.06212424849699405
1959,some like it hot,somelikeithot,124,186,-0.12424849699398799
1973,the sting,thesting,284,143,0.282565130260521
2013,prisoners,prisoners,148,98,0.1002004008016032
2017,logan,logan,193,103,0.18036072144288573
2016,your name,yourname,399,190,0.4188376753507014
2007,taare zameen par,taarezameenpar,448,138,0.62124248496994
2011,a separation,aseparation,242,125,0.2344689378757514
1997,titanic,titanic,45,188,-0.28657314629258523
2011,warrior,warrior,213,134,0.1583166332665331
2017,dunkirk,dunkirk,192,145,0.094188376753507
2015,spotlight,spotlight,155,152,0.006012024048096198
1986,stand by me,standbyme,125,184,-0.11823647294589179
2014,x-men: days of future past,xmendaysoffuturepast,113,159,-0.09218436873747493
2004,kill bill: vol. 2,killbillvol2,116,157,-0.0821643286573146
2014,the imitation game,theimitationgame,69,209,-0.2805611222444889
2010,the king’s speech,thekingsspeech,59,206,-0.2945891783567135
1986,aliens,aliens,217,85,0.2645290581162325
2004,downfall,downfall,288,115,0.3466933867735471
1998,"lock, stock and two smoking barrels",lockstockandtwosmokingbarrels,199,130,0.13827655310621245
1997,l.a. confidential,laconfidential,225,94,0.26252505010020044
2016,arrival,arrival,169,137,0.064128256513026
1957,paths of glory,pathsofglory,704,109,1.1923847695390781
2017,blade runner 2049,bladerunner2049,368,102,0.533066132264529
1991,beauty and the beast,beautyandthebeast,40,379,-0.6793587174348698
2014,guardians of the galaxy,guardiansofthegalaxy,111,147,-0.07214428857715438
1962,lawrence of arabia,lawrenceofarabia,396,105,0.5831663326653307
1993,jurassic park,jurassicpark,150,118,0.064128256513026
1927,metropolis,metropolis,331,182,0.2985971943887775
2016,deadpool,deadpool,126,155,-0.05811623246492992
2012,the hobbit: an unexpected journey,thehobbitanunexpectedjourney,90,192,-0.20440881763527052
2001,"monsters, inc.",monstersinc,77,196,-0.23847695390781565
1988,die hard,diehard,220,77,0.2865731462925851
1989,dead poets society,deadpoetssociety,103,239,-0.27254509018036077
2010,black swan,blackswan,98,161,-0.12625250501002006
2015,the martian,themartian,134,160,-0.05210420841683372
1957,witness for the prosecution,witnessfortheprosecution,476,229,0.4949899799599198
2004,hotel rwanda,hotelrwanda,176,181,-0.01002004008016033
2009,star trek,startrek,117,199,-0.1643286573146292
2013,the hobbit: the desolation of smaug,thehobbitthedesolationofsmaug,109,205,-0.19238476953907813
2009,hachi: a dog’s tale,hachiadogstale,127,288,-0.3226452905811623
2017,"three billboards outside ebbing, missouri",threebillboardsoutsideebbingmissouri,351,204,0.2945891783567134
1981,das boot,dasboot,603,111,0.9859719438877756
1995,heat,heat,332,89,0.4869739478957916
1978,the deer hunter,thedeerhunter,346,153,0.3867735470941883
1980,the elephant man,theelephantman,261,177,0.16833667334669333
1931,m,m,465,167,0.5971943887775552
1950,all about eve,allabouteve,227,302,-0.15030060120240485
1921,the kid,thekid,459,249,0.42084168336673344
1944,double indemnity,doubleindemnity,433,169,0.5290581162324649
2013,her,her,194,106,0.1763527054108217
2009,mary and max,maryandmax,175,274,-0.19839679358717432
2017,thor: ragnarok,thorragnarok,200,260,-0.12024048096192375
2013,dallas buyers club,dallasbuyersclub,146,175,-0.05811623246492992
1960,the apartment,theapartment,322,189,0.2665330661322646
2008,in bruges,inbruges,239,140,0.19839679358717444
1998,the truman show,thetrumanshow,132,149,-0.034068136272545235
2010,incendies,incendies,300,253,0.09418837675350711
1939,the wizard of oz,thewizardofoz,119,241,-0.24448897795591185
2008,slumdog millionaire,slumdogmillionaire,99,191,-0.18436873747494986
2007,no country for old men,nocountryforoldmen,244,75,0.33867735470941873
1999,the boondock saints,theboondocksaints,254,250,0.008016032064128265
2009,the secret in their eyes,thesecretintheireyes,265,198,0.1342685370741482
2016,lion,lion,170,332,-0.3246492985971944
2017,baahubali 2: the conclusion,baahubali2theconclusion,1170,343,1.6573146292585168
2015,the revenant,therevenant,214,129,0.1703406813627254
2004,million dollar baby,milliondollarbaby,163,162,0.002004008016032066
2005,babam ve oglum,babamveoglum,526,291,0.4709418837675351
1963,the great escape,thegreatescape,479,174,0.6112224448897795
1948,bicycle thieves,bicyclethieves,458,202,0.5130260521042084
2004,harry potter and the prisoner of azkaban,harrypotterandtheprisonerofazkaban,72,339,-0.5350701402805611
2006,blood diamond,blooddiamond,172,212,-0.08016032064128253
1993,the nightmare before christmas,thenightmarebeforechristmas,105,318,-0.42685370741482964
1974,chinatown,chinatown,360,158,0.404809619238477
2012,the perks of being a wallflower,theperksofbeingawallflower,108,232,-0.24849699398797598
1990,edward scissorhands,edwardscissorhands,67,357,-0.5811623246492986
1949,the third man,thethirdman,484,224,0.5210420841683366
2003,big fish,bigfish,133,226,-0.18637274549098193
2013,rush,rush,252,172,0.16032064128256507
1954,dial m for murder,dialmformurder,352,233,0.23847695390781565
1995,before sunrise,beforesunrise,179,228,-0.09819639278557113
1940,rebecca,rebecca,250,350,-0.2004008016032065
1992,unforgiven,unforgiven,543,110,0.8677354709418837
1979,life of brian,lifeofbrian,266,179,0.17434869739478953
1998,the big lebowski,thebiglebowski,256,123,0.26653306613226446
1992,aladdin,aladdin,120,308,-0.376753507014028
2000,amores perros,amoresperros,260,225,0.0701402805611222
2007,the bourne ultimatum,thebourneultimatum,235,156,0.1583166332665331
2007,ratatouille,ratatouille,138,211,-0.14629258517034072
1996,fargo,fargo,230,164,0.13226452905811625
1995,twelve monkeys,twelvemonkeys,238,163,0.15030060120240474
1965,for a few dollars more,forafewdollarsmore,792,142,1.3026052104208417
1980,raging bull,ragingbull,599,119,0.9619238476953909
2005,serenity,serenity,208,295,-0.17434869739478953
1967,cool hand luke,coolhandluke,539,215,0.6492985971943888
1969,butch cassidy and the sundance kid,butchcassidyandthesundancekid,421,231,0.3807615230460921
1957,the bridge on the river kwai,thebridgeontheriverkwai,581,180,0.8036072144288577
1988,rain man,rainman,182,217,-0.0701402805611222
1965,the sound of music,thesoundofmusic,101,516,-0.8316633266533067
1957,the seventh seal,theseventhseal,462,223,0.47895791583166336
1993,in the name of the father,inthenameofthefather,408,268,0.28056112224448904
2014,wild tales,wildtales,323,282,0.0821643286573146
1939,mr. smith goes to washington,mrsmithgoestowashington,466,297,0.33867735470941884
2006,the pursuit of happyness,thepursuitofhappyness,185,220,-0.07014028056112231
1995,casino,casino,419,136,0.5671342685370742
1987,the princess bride,theprincessbride,136,298,-0.3246492985971945
1950,rashomon,rashomon,626,185,0.8837675350701404
2008,iron man,ironman,140,244,-0.20841683366733466
1975,dog day afternoon,dogdayafternoon,417,252,0.3306613226452906
2014,pk,pk,646,246,0.8016032064128258
2005,sin city,sincity,231,148,0.16633266533066138
1954,on the waterfront,onthewaterfront,546,237,0.6192384769539079
1982,gandhi,gandhi,370,221,0.2985971943887775
2017,call me by your name,callmebyyourname,347,528,-0.36272545090180364
2011,x: first class,xfirstclass,157,248,-0.1823647294589178
1948,the treasure of the sierra madre,thetreasureofthesierramadre,786,230,1.1142284569138274
2014,kingsman: the secret service,kingsmanthesecretservice,174,259,-0.1703406813627254
2012,life of pi,lifeofpi,152,257,-0.21042084168336672
2016,captain america: civil war,captainamericacivilwar,215,265,-0.1002004008016032
2005,harry potter and the goblet of fire,harrypotterandthegobletoffire,96,431,-0.6713426853707415
2004,the notebook,thenotebook,63,452,-0.779559118236473
1976,rocky,rocky,442,132,0.62124248496994
2013,about time,abouttime,189,269,-0.16032064128256518
1977,annie hall,anniehall,289,218,0.14228456913827658
2003,mystic river,mysticriver,245,219,0.05210420841683372
2011,the girl with the dragon tattoo,thegirlwiththedragontattoo,216,222,-0.012024048096192397
1992,scent of a woman,scentofawoman,276,255,0.04208416833667339
2007,atonement,atonement,139,366,-0.45490981963927846
2011,the artist,theartist,197,325,-0.25651302605210424
2014,big hero 6,bighero6,129,462,-0.6673346693386774
1986,platoon,platoon,490,176,0.6292585170340681
1984,nausicaa of the valley of the wind,nausicaaofthevalleyofthewind,378,301,0.15430861723446887
1973,the exorcist,theexorcist,309,178,0.26252505010020033
1925,the gold rush,thegoldrush,684,306,0.7575150300601202
1953,roman holiday,romanholiday,206,426,-0.440881763527054
1982,the thing,thething,528,146,0.7655310621242486
1984,the terminator,theterminator,318,150,0.3366733466933868
1985,the breakfast club,thebreakfastclub,137,391,-0.5090180360721442
2007,persepolis,persepolis,291,477,-0.37274549098196386
2004,before sunset,beforesunset,263,240,0.04609218436873752
1959,ben-hur,benhur,481,227,0.5090180360721442
1961,judgment at nuremberg,judgmentatnuremberg,752,375,0.7555110220440883
2013,the hunger games: catching fire,thehungergamescatchingfire,83,525,-0.8857715430861723
2004,the incredibles,theincredibles,222,208,0.028056112224448815
2000,remember the titans,rememberthetitans,312,346,-0.06813627254509025
2001,shrek,shrek,143,323,-0.36072144288577146
1934,it happened one night,ithappenedonenight,366,424,-0.11623246492985972
